SIBS,DEGREE,PADEG,MADEG,SEX,MAJOR1,DIPGED,FAMILY16,PARBORN,GRANBORN,POLVIEWS,INCOME
1.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,FEMALE,Criminology/Criminal Justice,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,50000
0.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,50000
1.0,BACHELOR,GRADUATE,BACHELOR,MALE,POLITICAL SCIENCE/INTERNATIONAL RELATIONS,High School diploma,MOTHER & FATHER,FATHER ONLY,2.0,CONSERVATIVE,60000
1.0,BACHELOR,GRADUATE,JUNIOR COLLEGE,FEMALE,ENGINEERING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,40000
1.0,BACHELOR,BACHELOR,GRADUATE,MALE,POLITICAL SCIENCE/INTERNATIONAL RELATIONS,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,MODERATE,3000
1.0,BACHELOR,BACHELOR,BACHELOR,FEMALE,PSYCHOLOGY,High School diploma,OTHER,BOTH IN U.S,1.0,SLIGHTLY LIBERAL,40000
1.0,BACHELOR,GRADUATE,BACHELOR,MALE,ACCOUNTING/BOOKKEEPING,High School diploma,MOTHER & FATHER,BOTH IN U.S,2.0,LIBERAL,35000
3.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,MALE,HISTORY,High School diploma,MOTHER,BOTH IN U.S,2.0,CONSERVATIVE,20000
3.0,BACHELOR,BACHELOR,BACHELOR,MALE,THEATER ARTS,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,25000
0.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,MALE,ENGINEERING,High School diploma,OTHER,NEITHER IN U.S,4.0,MODERATE,60000
2.0,BACHELOR,BACHELOR,GRADUATE,MALE,ENGINEERING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,90000
4.0,GRADUATE,HIGH SCHOOL,BACHELOR,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,17500
1.0,BACHELOR,GRADUATE,BACHELOR,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,MODERATE,110000
1.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,NURSING,HS diploma after post HS classes,MOTHER,BOTH IN U.S,ALL IN U.S,MODERATE,30000
2.0,GRADUATE,BACHELOR,HIGH SCHOOL,FEMALE,ENGINEERING,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,60000
0.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,BUSINESS ADMINISTRATION,High School diploma,FATHER,NEITHER IN U.S,4.0,MODERATE,50000
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,COMMUNICATIONS/SPEECH,High School diploma,MOTHER & FATHER,BOTH IN U.S,2.0,LIBERAL,60000
1.0,JUNIOR COLLEGE,BACHELOR,HIGH SCHOOL,MALE,Food Science/Nutrition/Culinary Arts,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,90000
1.0,BACHELOR,GRADUATE,GRADUATE,MALE,ENGINEERING,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,75000
1.0,BACHELOR,GRADUATE,HIGH SCHOOL,MALE,COMMUNICATIONS/SPEECH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,75000
8.0,GRADUATE,LT HIGH SCHOOL,LT HIGH SCHOOL,MALE,COMPUTER SCIENCE,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,150000
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,BIOLOGY,High School diploma,MOTHER & FATHER,MOTHER ONLY,2.0,MODERATE,60000
2.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,ACCOUNTING/BOOKKEEPING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,15000
0.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,MALE,Electronics,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,60000
1.0,GRADUATE,GRADUATE,GRADUATE,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,150000
0.0,GRADUATE,BACHELOR,HIGH SCHOOL,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,LIBERAL,90000
0.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,2.0,MODERATE,150000
4.0,BACHELOR,GRADUATE,HIGH SCHOOL,MALE,NURSING,High School diploma,MOTHER & FATHER,BOTH IN U.S,4.0,SLIGHTLY LIBERAL,90000
1.0,GRADUATE,BACHELOR,BACHELOR,MALE,COMPUTER SCIENCE,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,EXTREMELY LIBERAL,60000
1.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,Food Science/Nutrition/Culinary Arts,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,20000
5.0,JUNIOR COLLEGE,BACHELOR,JUNIOR COLLEGE,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,CONSERVATIVE,17500
3.0,GRADUATE,BACHELOR,BACHELOR,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,ALL IN U.S,MODERATE,40000
4.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,MALE,EDUCATION,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,LIBERAL,75000
4.0,JUNIOR COLLEGE,LT HIGH SCHOOL,LT HIGH SCHOOL,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,40000
0.0,BACHELOR,BACHELOR,JUNIOR COLLEGE,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,110000
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,LIBERAL,40000
10.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,50000
2.0,JUNIOR COLLEGE,BACHELOR,HIGH SCHOOL,FEMALE,NURSING,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,CONSERVATIVE,60000
2.0,GRADUATE,LT HIGH SCHOOL,BACHELOR,FEMALE,NURSING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,50000
5.0,JUNIOR COLLEGE,LT HIGH SCHOOL,LT HIGH SCHOOL,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,75000
6.0,JUNIOR COLLEGE,BACHELOR,JUNIOR COLLEGE,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,2.0,SLGHTLY CONSERVATIVE,5000
4.0,GRADUATE,GRADUATE,BACHELOR,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,60000
3.0,BACHELOR,BACHELOR,GRADUATE,FEMALE,OTHER,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,ALL IN U.S,MODERATE,50000
1.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,MALE,FINANCE,High School diploma,MOTHER & FATHER,FATHER ONLY,2.0,SLGHTLY CONSERVATIVE,90000
5.0,GRADUATE,BACHELOR,LT HIGH SCHOOL,MALE,COMPUTER SCIENCE,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,60000
5.0,GRADUATE,BACHELOR,LT HIGH SCHOOL,MALE,BIOLOGY,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,130000
1.0,BACHELOR,GRADUATE,GRADUATE,MALE,ENGINEERING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,150000
2.0,GRADUATE,GRADUATE,GRADUATE,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,2.0,LIBERAL,75000
3.0,GRADUATE,BACHELOR,JUNIOR COLLEGE,MALE,PHARMACY,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,90000
6.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,MALE,OTHER,GED,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,4000
1.0,GRADUATE,BACHELOR,BACHELOR,FEMALE,HEALTH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,90000
6.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,PSYCHOLOGY,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,50000
1.0,GRADUATE,LT HIGH SCHOOL,LT HIGH SCHOOL,FEMALE,FOREIGN LANGUAGE,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,40000
2.0,GRADUATE,GRADUATE,GRADUATE,MALE,BIOLOGY,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,ALL IN U.S,MODERATE,110000
2.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,ART,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,17500
2.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,FEMALE,SOCIOLOGY,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,50000
2.0,BACHELOR,BACHELOR,GRADUATE,MALE,FINANCE,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,5000
1.0,JUNIOR COLLEGE,JUNIOR COLLEGE,HIGH SCHOOL,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,40000
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,ACCOUNTING/BOOKKEEPING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,75000
7.0,HIGH SCHOOL,HIGH SCHOOL,LT HIGH SCHOOL,MALE,ENGINEERING,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,LIBERAL,12500
4.0,BACHELOR,BACHELOR,BACHELOR,FEMALE,PSYCHOLOGY,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,EXTREMELY LIBERAL,60000
1.0,GRADUATE,GRADUATE,BACHELOR,FEMALE,HEALTH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,75000
2.0,BACHELOR,BACHELOR,GRADUATE,MALE,ENGINEERING,High School diploma,MOTHER & FATHER,FATHER ONLY,2.0,SLGHTLY CONSERVATIVE,110000
2.0,BACHELOR,GRADUATE,BACHELOR,FEMALE,Child/Human/Family Development,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,60000
7.0,JUNIOR COLLEGE,BACHELOR,BACHELOR,FEMALE,COMM. DISORDERS,GED,MOTHER & FATHER,FATHER ONLY,2.0,MODERATE,22500
2.0,BACHELOR,BACHELOR,BACHELOR,FEMALE,PHYSICAL EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,35000
1.0,GRADUATE,GRADUATE,BACHELOR,MALE,COMPUTER SCIENCE,High School diploma,MOTHER & FATHER,FATHER ONLY,4.0,MODERATE,10000
3.0,GRADUATE,GRADUATE,BACHELOR,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & STPFATHER,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,35000
2.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,FEMALE,NURSING,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,1.0,MODERATE,22500
2.0,GRADUATE,BACHELOR,HIGH SCHOOL,MALE,ENGINEERING,High School diploma,MOTHER & FATHER,NEITHER IN U.S,ALL IN U.S,MODERATE,60000
3.0,BACHELOR,BACHELOR,HIGH SCHOOL,FEMALE,Fine Arts,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,SLGHTLY CONSERVATIVE,5000
2.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,MALE,Visual Arts/Graphic Design/Design and Drafting,GED,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,30000
2.0,BACHELOR,HIGH SCHOOL,GRADUATE,FEMALE,PSYCHOLOGY,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,MODERATE,35000
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,Criminology/Criminal Justice,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,60000
2.0,BACHELOR,BACHELOR,GRADUATE,MALE,PHYSICAL EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,2.0,MODERATE,150000
7.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,17500
3.0,JUNIOR COLLEGE,GRADUATE,BACHELOR,MALE,HEALTH,High School diploma,MOTHER & FATHER,BOTH IN U.S,2.0,SLGHTLY CONSERVATIVE,17500
3.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,ACCOUNTING/BOOKKEEPING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,60000
2.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,ACCOUNTING/BOOKKEEPING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,35000
3.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,OTHER VOCATIONAL,High School diploma,MOTHER & FATHER,BOTH IN U.S,2.0,MODERATE,10000
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,COMMUNICATIONS/SPEECH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,25000
4.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,FEMALE,EDUCATION,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,17500
0.0,JUNIOR COLLEGE,HIGH SCHOOL,LT HIGH SCHOOL,FEMALE,PSYCHOLOGY,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,MODERATE,40000
3.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,ACCOUNTING/BOOKKEEPING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,20000
3.0,BACHELOR,BACHELOR,BACHELOR,FEMALE,COMMUNICATIONS/SPEECH,High School diploma,MOTHER & FATHER,FATHER ONLY,ALL IN U.S,MODERATE,4000
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,POLITICAL SCIENCE/INTERNATIONAL RELATIONS,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,40000
2.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,OTHER,High School diploma,MOTHER,BOTH IN U.S,1.0,CONSERVATIVE,90000
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,PSYCHOLOGY,High School diploma,MOTHER,BOTH IN U.S,1.0,SLIGHTLY LIBERAL,3000
2.0,JUNIOR COLLEGE,HIGH SCHOOL,BACHELOR,MALE,OTHER VOCATIONAL,GED,MOTHER,BOTH IN U.S,ALL IN U.S,MODERATE,22500
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,AGRICULTURE/HORTICULTURE,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,50000
2.0,GRADUATE,GRADUATE,JUNIOR COLLEGE,FEMALE,EDUCATION,High School diploma,MOTHER & STPFATHER,MOTHER ONLY,2.0,EXTREMELY LIBERAL,30000
1.0,BACHELOR,HIGH SCHOOL,BACHELOR,FEMALE,GENERAL SCIENCES,High School diploma,MOTHER,FATHER ONLY,2.0,CONSERVATIVE,110000
1.0,GRADUATE,GRADUATE,GRADUATE,MALE,LAW,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,90000
2.0,BACHELOR,GRADUATE,BACHELOR,MALE,COMMUNICATIONS/SPEECH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,30000
1.0,JUNIOR COLLEGE,BACHELOR,HIGH SCHOOL,FEMALE,LAW,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,30000
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,COMMUNICATIONS/SPEECH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,6000
1.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,MALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,30000
2.0,BACHELOR,HIGH SCHOOL,BACHELOR,MALE,COMPUTER SCIENCE,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,90000
6.0,GRADUATE,HIGH SCHOOL,LT HIGH SCHOOL,FEMALE,HEALTH,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,60000
6.0,BACHELOR,BACHELOR,HIGH SCHOOL,MALE,MARKETING,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,1.0,EXTRMLY CONSERVATIVE,150000
2.0,BACHELOR,BACHELOR,HIGH SCHOOL,FEMALE,ENGINEERING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,50000
2.0,JUNIOR COLLEGE,GRADUATE,GRADUATE,FEMALE,GENERAL SCIENCES,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,50000
3.0,BACHELOR,JUNIOR COLLEGE,BACHELOR,MALE,Criminology/Criminal Justice,High School diploma,FATHER & STPMOTHER,BOTH IN U.S,ALL IN U.S,MODERATE,130000
