OCC10,SIBS,AGE,EDUC,PAEDUC,MAEDUC,DEGREE,PADEG,MADEG,MAJOR1,MAJOR2,DIPGED,SECTOR,BARATE,SEX,RACE,RES16,REG16,FAMILY16,MAWRKGRW,INCOM16,BORN,PARBORN,GRANBORN,POLVIEWS,INCOME
Elementary and middle school teachers,2.0,31.0,20.0,12.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,OTHER,BIG-CITY SUBURB,W. SOU. CENTRAL,MOTHER & FATHER,YES,,YES,MOTHER ONLY,3.0,SLGHTLY CONSERVATIVE,$30000 TO 34999
Elementary and middle school teachers,6.0,27.0,16.0,,16.0,BACHELOR,,BACHELOR,,,,,,FEMALE,BLACK,50000 TO 250000,MIDDLE ATLANTIC,MOTHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$30000 TO 34999
Elementary and middle school teachers,6.0,32.0,19.0,12.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,BLACK,FARM,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$50000 TO 59999
Elementary and middle school teachers,1.0,29.0,18.0,,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,BLACK,CITY GT 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$35000 TO 39999
Teacher assistants,1.0,44.0,14.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,CITY GT 250000,E. NOR. CENTRAL,MOTHER & FATHER,NO,,YES,BOTH IN U.S,4.0,CONSERVATIVE,$3 000 TO 3 999
Electricians,1.0,45.0,14.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,CITY GT 250000,E. NOR. CENTRAL,MOTHER & FATHER,NO,,NO,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,$75000 TO $89999
Driver/sales workers and truck drivers,15.0,24.0,16.0,14.0,14.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,MALE,WHITE,"COUNTRY,NONFARM",E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$17500 TO 19999
Mechanical engineers,3.0,45.0,16.0,,12.0,BACHELOR,,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER,YES,,YES,BOTH IN U.S,1.0,SLGHTLY CONSERVATIVE,$60000 TO 74999
Accountants and auditors,1.0,26.0,16.0,16.0,12.0,JUNIOR COLLEGE,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,1.0,MODERATE,$20000 TO 22499
"Property, real estate, and community association managers",1.0,30.0,16.0,,10.0,BACHELOR,,LT HIGH SCHOOL,,,,,,FEMALE,OTHER,TOWN LT 50000,E. NOR. CENTRAL,MOTHER,YES,,NO,NEITHER IN U.S,2.0,MODERATE,$35000 TO 39999
Cooks,2.0,23.0,16.0,16.0,14.0,HIGH SCHOOL,BACHELOR,JUNIOR COLLEGE,,,,,,MALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$3 000 TO 3 999
"Musicians, singers, and related workers",1.0,32.0,19.0,19.0,,GRADUATE,GRADUATE,,,,,,,MALE,WHITE,TOWN LT 50000,MOUNTAIN,FATHER,,,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$8 000 TO 9 999
"Lifeguards and other recreational, and all other protective service workers",4.0,31.0,16.0,6.0,12.0,BACHELOR,LT HIGH SCHOOL,,,,,,,FEMALE,WHITE,TOWN LT 50000,MOUNTAIN,MOTHER & FATHER,NO,,YES,BOTH IN U.S,,CONSERVATIVE,$22500 TO 24999
Phlebotomists,0.0,32.0,14.0,,12.0,JUNIOR COLLEGE,,HIGH SCHOOL,,,,,,FEMALE,BLACK,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER,YES,,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$17500 TO 19999
First-line supervisors of non-retail sales workers,4.0,39.0,16.0,,12.0,BACHELOR,,HIGH SCHOOL,,,,,,FEMALE,BLACK,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$50000 TO 59999
Industrial production managers,1.0,39.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,MALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,UNDER $1 000
Lawyers,3.0,38.0,19.0,18.0,17.0,GRADUATE,BACHELOR,GRADUATE,,,,,,MALE,WHITE,CITY GT 250000,PACIFIC,MOTHER & FATHER,NO,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$75000 TO $89999
Social and community service managers,0.0,40.0,17.0,,20.0,BACHELOR,,GRADUATE,,,,,,MALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER,YES,,YES,BOTH IN U.S,3.0,LIBERAL,$40000 TO 49999
Retail salespersons,4.0,33.0,16.0,18.0,16.0,BACHELOR,GRADUATE,BACHELOR,,,,,,FEMALE,WHITE,50000 TO 250000,PACIFIC,MOTHER & STPFATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$8 000 TO 9 999
"Shipping, receiving, and traffic clerks",5.0,40.0,16.0,12.0,12.0,BACHELOR,,HIGH SCHOOL,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",FOREIGN,MOTHER & FATHER,NO,,NO,NEITHER IN U.S,4.0,LIBERAL,$10000 TO 12499
Statistical assistants,3.0,39.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$3 000 TO 3 999
Computer and information systems managers,1.0,30.0,19.0,,16.0,GRADUATE,,BACHELOR,,,,,,MALE,WHITE,BIG-CITY SUBURB,PACIFIC,MOTHER,YES,,YES,BOTH IN U.S,4.0,LIBERAL,$110000 OR OVER
Designers,2.0,39.0,17.0,13.0,14.0,BACHELOR,JUNIOR COLLEGE,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,50000 TO 250000,PACIFIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$25000 TO 29999
Secondary school teachers,2.0,45.0,18.0,16.0,12.0,GRADUATE,BACHELOR,HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,PACIFIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,2.0,SLIGHTLY LIBERAL,$50000 TO 59999
Customer service representatives,2.0,21.0,13.0,,10.0,JUNIOR COLLEGE,,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER,YES,,YES,BOTH IN U.S,2.0,MODERATE,$22500 TO 24999
"Hairdressers, hairstylists, and cosmetologists",5.0,35.0,14.0,8.0,14.0,JUNIOR COLLEGE,LT HIGH SCHOOL,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,PACIFIC,MOTHER & FATHER,NO,,YES,BOTH IN U.S,1.0,CONSERVATIVE,$17500 TO 19999
First-line supervisors of office and administrative support workers,3.0,28.0,16.0,14.0,13.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$30000 TO 34999
Training and development specialists,2.0,38.0,16.0,16.0,20.0,BACHELOR,BACHELOR,GRADUATE,,,,,,FEMALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & STPFATHER,YES,,YES,BOTH IN U.S,3.0,MODERATE,$4 000 TO 4 999
Police and sheriff's patrol officers,2.0,29.0,15.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,CITY GT 250000,E. NOR. CENTRAL,MOTHER & FATHER,NO,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$50000 TO 59999
Accountants and auditors,4.0,43.0,16.0,,15.0,BACHELOR,,HIGH SCHOOL,,,,,,MALE,BLACK,CITY GT 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$35000 TO 39999
Technical writers,3.0,29.0,18.0,18.0,18.0,GRADUATE,GRADUATE,GRADUATE,,,,,,MALE,WHITE,50000 TO 250000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$40000 TO 49999
Secretaries and administrative assistants,0.0,26.0,19.0,,12.0,GRADUATE,,HIGH SCHOOL,,,,,,MALE,OTHER,"COUNTRY,NONFARM",PACIFIC,MOTHER,YES,,YES,BOTH IN U.S,2.0,LIBERAL,$10000 TO 12499
Computer programmers,1.0,24.0,16.0,20.0,16.0,BACHELOR,GRADUATE,BACHELOR,,,,,,MALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER & FATHER,NO,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$50000 TO 59999
Childcare workers,1.0,34.0,14.0,12.0,12.0,JUNIOR COLLEGE,,HIGH SCHOOL,,,,,,FEMALE,BLACK,CITY GT 250000,E. NOR. CENTRAL,MOTHER & STPFATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,$10000 TO 12499
Teacher assistants,6.0,38.0,16.0,14.0,14.0,BACHELOR,JUNIOR COLLEGE,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,NO,,YES,BOTH IN U.S,1.0,CONSERVATIVE,$15000 TO 17499
"Securities, commodities, and financial services sales agents",1.0,31.0,18.0,16.0,12.0,GRADUATE,BACHELOR,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,1.0,CONSERVATIVE,$110000 OR OVER
Recreation and fitness workers,3.0,44.0,16.0,16.0,20.0,BACHELOR,BACHELOR,GRADUATE,,,,,,FEMALE,WHITE,TOWN LT 50000,NEW ENGLAND,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$6 000 TO 6 999
Physical therapists,1.0,34.0,16.0,15.0,16.0,BACHELOR,HIGH SCHOOL,BACHELOR,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,W. NOR. CENTRAL,MOTHER & FATHER,NO,,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$30000 TO 34999
"Bookkeeping, accounting, and auditing clerks",2.0,26.0,16.0,16.0,18.0,BACHELOR,BACHELOR,GRADUATE,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$30000 TO 34999
Advertising and promotions managers,1.0,29.0,16.0,18.0,14.0,BACHELOR,GRADUATE,HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$75000 TO $89999
Counselors,3.0,36.0,19.0,20.0,20.0,GRADUATE,GRADUATE,GRADUATE,,,,,,MALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,LIBERAL,$25000 TO 29999
"Managers, all other",2.0,32.0,20.0,14.0,14.0,GRADUATE,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,FATHER ONLY,ALL IN U.S,LIBERAL,$50000 TO 59999
Health practitioner support technologists and technicians,2.0,26.0,14.0,12.0,16.0,BACHELOR,HIGH SCHOOL,BACHELOR,,,,,,FEMALE,WHITE,CITY GT 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,EXTRMLY CONSERVATIVE,$5 000 TO 5 999
Dental hygienists,1.0,37.0,20.0,14.0,12.0,GRADUATE,JUNIOR COLLEGE,HIGH SCHOOL,,,,,,FEMALE,WHITE,CITY GT 250000,E. NOR. CENTRAL,MOTHER & STPFATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$40000 TO 49999
First-line supervisors of office and administrative support workers,2.0,29.0,16.0,,14.0,BACHELOR,,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,PACIFIC,MOTHER,YES,,YES,BOTH IN U.S,3.0,LIBERAL,$40000 TO 49999
Computer systems analysts,4.0,37.0,16.0,6.0,6.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,NO,,NO,NEITHER IN U.S,4.0,CONSERVATIVE,$60000 TO 74999
Elementary and middle school teachers,1.0,26.0,16.0,12.0,18.0,BACHELOR,HIGH SCHOOL,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$25000 TO 29999
"Electronic equipment installers and repairers, motor vehicles",3.0,37.0,14.0,13.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$60000 TO 74999
"Electric motor, power tool, and related repairers",2.0,42.0,14.0,20.0,14.0,JUNIOR COLLEGE,GRADUATE,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,NO,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$40000 TO 49999
Flight attendants,0.0,22.0,14.0,,14.0,JUNIOR COLLEGE,,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER,YES,,YES,BOTH IN U.S,,EXTREMELY LIBERAL,$10000 TO 12499
Automotive service technicians and mechanics,3.0,40.0,14.0,12.0,14.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,MALE,WHITE,CITY GT 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$50000 TO 59999
Elementary and middle school teachers,4.0,25.0,16.0,16.0,14.0,BACHELOR,BACHELOR,JUNIOR COLLEGE,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,4.0,SLGHTLY CONSERVATIVE,$6 000 TO 6 999
Computer and information systems managers,4.0,42.0,16.0,8.0,12.0,BACHELOR,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,3.0,MODERATE,$75000 TO $89999
Registered nurses,0.0,43.0,18.0,16.0,16.0,GRADUATE,BACHELOR,BACHELOR,,,,,,FEMALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,OTHER,YES,,YES,BOTH IN U.S,2.0,SLGHTLY CONSERVATIVE,$40000 TO 49999
"News analysts, reporters and correspondents",1.0,36.0,16.0,18.0,18.0,BACHELOR,GRADUATE,GRADUATE,,,,,,FEMALE,WHITE,CITY GT 250000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$60000 TO 74999
First-line supervisors of non-retail sales workers,2.0,45.0,16.0,10.0,10.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,50000 TO 250000,FOREIGN,MOTHER & FATHER,NO,,NO,NEITHER IN U.S,4.0,MODERATE,$110000 OR OVER
Counselors,3.0,31.0,15.0,5.0,10.0,JUNIOR COLLEGE,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,PACIFIC,MOTHER & STPFATHER,YES,,YES,NEITHER IN U.S,4.0,CONSERVATIVE,$35000 TO 39999
"Property, real estate, and community association managers",3.0,34.0,16.0,12.0,12.0,HIGH SCHOOL,,,,,,,,FEMALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,,YES,NEITHER IN U.S,,SLIGHTLY LIBERAL,$15000 TO 17499
Secretaries and administrative assistants,1.0,26.0,16.0,16.0,18.0,BACHELOR,BACHELOR,GRADUATE,,,,,,MALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$22500 TO 24999
Postsecondary teachers,3.0,35.0,20.0,8.0,12.0,GRADUATE,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,CITY GT 250000,PACIFIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,$50000 TO 59999
First-line supervisors of retail sales workers,2.0,42.0,16.0,5.0,,HIGH SCHOOL,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,WHITE,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,$30000 TO 34999
"Hairdressers, hairstylists, and cosmetologists",5.0,27.0,16.0,16.0,16.0,JUNIOR COLLEGE,BACHELOR,BACHELOR,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,PACIFIC,MOTHER & STPFATHER,YES,,YES,BOTH IN U.S,1.0,MODERATE,$35000 TO 39999
Marketing and sales managers,4.0,42.0,16.0,6.0,6.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,NO,,NO,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,$50000 TO 59999
Travel agents,1.0,38.0,17.0,17.0,17.0,GRADUATE,GRADUATE,GRADUATE,,,,,,FEMALE,WHITE,TOWN LT 50000,FOREIGN,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$25000 TO 29999
Podiatrists,3.0,36.0,20.0,12.0,,GRADUATE,HIGH SCHOOL,,,,,,,MALE,WHITE,CITY GT 250000,PACIFIC,MALE RELATIVE,,,NO,NEITHER IN U.S,4.0,LIBERAL,$90000 - $109999
Food preparation workers,2.0,26.0,16.0,14.0,12.0,HIGH SCHOOL,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,,MODERATE,$8 000 TO 9 999
Computer programmers,2.0,37.0,19.0,16.0,8.0,GRADUATE,BACHELOR,LT HIGH SCHOOL,,,,,,MALE,OTHER,TOWN LT 50000,FOREIGN,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,LIBERAL,$40000 TO 49999
Medical and health services managers,6.0,42.0,19.0,5.0,0.0,GRADUATE,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,OTHER,50000 TO 250000,FOREIGN,MOTHER & FATHER,NO,,NO,NEITHER IN U.S,4.0,CONSERVATIVE,$30000 TO 34999
Registered nurses,2.0,38.0,17.0,20.0,18.0,BACHELOR,GRADUATE,GRADUATE,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,LIBERAL,$20000 TO 22499
Producers and directors,3.0,41.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,NO,,YES,BOTH IN U.S,1.0,SLGHTLY CONSERVATIVE,$110000 OR OVER
"Managers, all other",2.0,37.0,16.0,12.0,14.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,MALE,BLACK,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,$75000 TO $89999
"Sales and related workers, all other",15.0,38.0,15.0,,12.0,JUNIOR COLLEGE,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,PACIFIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,4.0,EXTREMELY LIBERAL,$35000 TO 39999
"Financial specialists, all other",11.0,34.0,17.0,,3.0,BACHELOR,,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,CITY GT 250000,FOREIGN,MOTHER,YES,,NO,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,$50000 TO 59999
Computer support specialists,5.0,39.0,16.0,14.0,10.0,JUNIOR COLLEGE,HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,OTHER,TOWN LT 50000,E. SOU. CENTRAL,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,MODERATE,$30000 TO 34999
Electricians,2.0,38.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,MALE,WHITE,50000 TO 250000,PACIFIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,$60000 TO 74999
Computer support specialists,3.0,28.0,16.0,14.0,14.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,BLACK,CITY GT 250000,PACIFIC,M AND F RELATIVES,YES,,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$17500 TO 19999
Teacher assistants,3.0,35.0,14.0,,12.0,JUNIOR COLLEGE,,,,,,,,FEMALE,BLACK,"COUNTRY,NONFARM",FOREIGN,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,MODERATE,$30000 TO 34999
Marketing and sales managers,1.0,25.0,18.0,12.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",NEW ENGLAND,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$75000 TO $89999
Technical writers,3.0,40.0,16.0,5.0,12.0,BACHELOR,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,CITY GT 250000,MIDDLE ATLANTIC,MOTHER & FATHER,NO,,YES,MOTHER ONLY,4.0,MODERATE,$30000 TO 34999
"Shipping, receiving, and traffic clerks",1.0,38.0,16.0,12.0,16.0,BACHELOR,HIGH SCHOOL,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,FOREIGN,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,LIBERAL,$50000 TO 59999
First-line supervisors of office and administrative support workers,5.0,42.0,16.0,,16.0,BACHELOR,,BACHELOR,,,,,,MALE,WHITE,"COUNTRY,NONFARM",FOREIGN,FEMALE RELATIVE,YES,,NO,NEITHER IN U.S,4.0,MODERATE,$40000 TO 49999
